Particulars,Frequency,Unit, 3-1993, 3-1994, 3-1995, 3-1996, 3-1997, 3-1998, 3-1999, 3-2000, 3-2001, 3-2002, 3-2003, 3-2004, 3-2005, 3-2006, 3-2007, 3-2008, 3-2009, 3-2010, 3-2011, 3-2012, 3-2013, 3-2014
Agriculture Production Foodgrains Area 5 Yr Avg Oilseeds Nine Oilseeds Rapeseed and Mustard Rabi,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,5.3,5.1,5.93,6.27,6.53,6.7,6.36,6.28,6.1,NA,NA
Agriculture Production Foodgrains Area 5 Yr Avg Oilseeds Nine Oilseeds Soyabean Kharif,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,6.3,6.3,6.86,7.25,7.81,8.4,8.83,9.21,9.57,NA,NA
Agriculture Production Foodgrains Area 5 Yr Avg Oilseeds Nine Oilseeds Sunflower,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1.4,1.4,1.86,2.06,2.12,2.08,1.94,1.66,1.37,NA,NA
Agriculture Production Foodgrains Area 5 Yr Avg Other Cash Crops Cotton,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,8.7,8.3,8.37,8.38,8.72,9.09,9.35,9.87,10.47,NA,NA
Agriculture Production Foodgrains Area 5 Yr Avg Other Cash Crops Jute and Mesta,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0.98,0.96,0.94,0.465,0.92,0.91,0.91,NA,NA
Agriculture Production Foodgrains Area 5 Yr Avg Other Cash Crops Onion,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.52,0.55,0.62,0.62,NA,NA,NA,NA,NA
Agriculture Production Foodgrains Area 5 Yr Avg Other Cash Crops Potato,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.3,1.3,1.31,1.37,1.41,1.41,NA,NA,NA,NA,NA
Agriculture Production Foodgrains Area 5 Yr Avg Other Cash Crops Sugarcane,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,4.3,4.3,4.15,4.29,4.4,4.5,4.6,4.74,4.71,NA,NA
Agriculture Production Foodgrains Production Foodgrains Total,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206.2,199.4,201.5,201.56,202.44,213.64,217.9,221.85,229.08,237.42,NA,NA
Agriculture Production Foodgrains Production Foodgrains Kharif,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.4,101.9,104.7,105.9,105.6,112.34,112.57,112.7,114.99,119.06,NA,NA
Agriculture Production Foodgrains Production Foodgrains Rabi,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.8,97.5,96.8,95.66,96.84,101.3,105.33,109.15,114.09,118.36,NA,NA
Agriculture Production Foodgrains Production Foodgrains Coarse Cereals Total,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.8,30.5,31.8,32.92,33.02,35.96,36.45,36.46,38.39,39.95,NA,NA
Agriculture Production Foodgrains Production Foodgrains Coarse Cereals Kharif,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,24,25.4,26.4,26.18,28.56,27.83,27.32,28.65,29.96,NA,NA
Agriculture Production Foodgrains Production Foodgrains Coarse Cereals Rabi,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,6.5,6.4,6.51,6.84,7.4,8.62,9.14,9.74,9.99,NA,NA
Agriculture Production Foodgrains Production Foodgrains Coarse Cereals Rice Total,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.3,85.2,85.6,85.72,85.72,90.7,92.83,94.02,94.87,97.24,NA,NA
Agricultural Production Foodgrains Production Foodgrains Coarse Cereals Rice Kharif,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.7,73.3,74.4,74.55,74.47,78.39,79.65,80.38,80.9,83.41,NA,NA
Agriculture Production Foodgrains Production Foodgrains Coarse Cereals Rice Rabi,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.6,11.9,11.2,11.18,11.25,12.31,13.18,13.64,13.97,13.83,NA,NA
Agriculture Production Foodgrains Production Foodgrains Coarse Cereals Wheat Rabi,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.6,71,71.3,69.73,70.34,72.9,74.61,77.04,80.55,84.36,NA,NA
Agriculture Production Foodgrains Production Foodgrains Coarse Cereals Jowar Total,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7.8,7.6,7.22,7.14,7.33,7.44,7.33,7.21,6.97,NA,NA
Agriculture Production Foodgrains Production Foodgrains Coarse Cereals Jowar Kharif,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,4.6,4.5,4.28,4.18,4.16,3.8,3.54,3.42,3.33,NA,NA
Agriculture Production Foodgrains Production Foodgrains Coarse Cereals Jowar Rabi,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,3.2,3,2.94,2.96,3.17,3.64,3.79,3.79,3.64,NA,NA
Agriculture Production Foodgrains Production Foodgrains Coarse Cereals Bajra Kharif,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6.5,7.5,8.15,8.17,9.22,8.58,8.29,8.83,9.2,NA,NA
Agriculture Production Foodgrains Production Foodgrains Coarse Cereals Maize Total,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3,11.8,12.5,13.64,14.02,15.58,16.53,17.04,18.44,19.78,NA,NA
Agriculture Production Foodgrains Production Foodgrains Coarse Cereals Maize Kharif,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4,10,10.6,11.38,11.44,12.61,12.88,13.04,13.94,14.93,NA,NA
Agriculture Production Foodgrains Production Foodgrains Coarse Cereals Maize Rabi,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,1.8,1.9,2.26,2.58,2.98,3.65,4,4.5,4.85,NA,NA
Agriculture Production Foodgrains Production Foodgrains Pulses Total,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.6,12.8,12.8,13.18,13.35,14.08,14,14.31,15.28,15.86,NA,NA
Agriculture Production Foodgrains Production Foodgrains Pulses Tur Kharif,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,2.4,2.4,2.38,2.39,2.57,2.55,2.57,2.6,2.66,NA,NA
Agriculture Production Foodgrains Production Foodgrains Pulses Gram Rabi,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,5.1,4.9,5.3,5.47,5.77,6.04,6.44,6.97,7.24,NA,NA
Agriculture Production Foodgrains Production Foodgrains Pulses Kharif,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,4.7,4.9,4.95,4.94,5.39,5.09,4.99,5.44,5.69,NA,NA
Agriculture Production Foodgrains Production Foodgrains Pulses Rabi,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,8.1,7.9,8.24,8.41,8.69,8.91,9.32,9.84,10.17,NA,NA
Agriculture Production Foodgrains Production Oilseeds Nine Oilseeds,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,19.9,20,22.6,23.33,26.31,26.82,26.92,27.82,28.93,NA,NA
Agriculture Production Foodgrains Production Oilseeds Nine Oilseeds Groundnut,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,6.4,6.2,6.81,6.38,7.39,7.2,6.93,6.98,7.4,NA,NA
Agriculture Production Foodgrains Production Oilseeds Nine Oilseeds Rapeseed and Mustard Rabi,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4.9,5,6.2,6.67,7.06,7.24,7.04,7.05,6.89,NA,NA
Agriculture Production Foodgrains Production Oilseeds Nine Oilseeds Soyabean Kharif,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,6,6.2,6.72,7.29,8.56,8.97,9.59,10.49,11.16,NA,NA
Agriculture Production Foodgrains Production Oilseeds Nine Oilseeds Sunflower,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.8,0.8,1.02,1.13,1.25,1.29,1.23,1.07,0.93,NA,NA
Agriculture Production Foodgrains Production Other Cash Crops Cotton,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4,10.4,10.7,13.46,15.98,19.43,21.14,22.66,25.56,28.08,NA,NA
Agriculture Production Foodgrains Production Other Cash Crops Jute and Mesta,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9,10.8,11.1,11.05,10.97,10.95,15.525,11.1,11.06,11.08,NA,NA
Agriculture Production Foodgrains Production Other Cash Crops Onion,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,4.8,4.7,6.08,6.54,7.81,7.81,NA,NA,NA,NA,NA
Agriculture Production Foodgrains Production Other Cash Crops Potato,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.8,23.6,23.5,23.56,23.19,24.25,24.25,NA,NA,NA,NA,NA
Agriculture Production Foodgrains Production Other Cash Crops Sugarcane,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,298.5,298.5,283.4,267.34,279.01,291.17,301.4,312.44,324.68,325.79,NA,NA
Agriculture Production Foodgrains Yield Foodgrains Total,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1690,1651,1668,1675,1679,1743,1779,1808,1851,1916,NA,NA
Agriculture Production Foodgrains Yield Foodgrains Kharif,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1436,1401,1429,1458,1460,1532,1552,1566,1598,1658,NA,NA
Agriculture Production Foodgrains Yield Foodgrains Rabi,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2084,2029,2036,2005,2009,2057,2109,2151,2203,2271,NA,NA
Agriculture Production Foodgrains Yield Foodgrains Coarse Cereals Total,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1068,1049,1082,1132,1142,1231,1277,1290,1364,1444,NA,NA
Agriculture Production Foodgrains Yield Foodgrains Coarse Cereals Kharif,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1083,1064,1113,1166,1161,1244,1252,1244,1311,1393,NA,NA
Agriculture Production Foodgrains Yield Foodgrains Coarse Cereals Rabi,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1016,999,976,1013,1075,1183,1363,1449,1548,1621,NA,NA
Agriculture Production Foodgrains Yield Foodgrains Coarse Cereals Rice Total,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991,1938,1960,2001,2011,2101,2121,2148,2175,2228,NA,NA
Agricultural Production Foodgrains Yield Foodgrains Coarse Cereals Rice Kharif,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1888,1835,1867,1906,1914,2000,2016,2042,2068,2127,NA,NA
Agriculture Production Foodgrains Yield Foodgrains Coarse Cereals Rice Rabi,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2982,2972,2932,2996,3027,3093,3097,3092,3104,3122,NA,NA
Agriculture Production Foodgrains Yield Foodgrains Coarse Cereals Wheat Rabi,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2753,2692,2716,2662,2651,2690,2730,2777,2850,2946,NA,NA
Agriculture Production Foodgrains Yield Foodgrains Coarse Cereals Jowar Total,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,799,803,781,782,796,845,896,911,925,949,NA,NA
Agriculture Production Foodgrains Yield Foodgrains Coarse Cereals Jowar Kharif,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,965,989,995,1018,1029,1062,1055,1034,1039,1087,NA,NA
Agriculture Production Foodgrains Yield Foodgrains Coarse Cereals Jowar Rabi,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,651,633,591,585,604,667,774,820,842,851,NA,NA
Agriculture Production Foodgrains Yield Foodgrains Coarse Cereals Bajra Kharif,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,739,718,809,872,876,951,920,895,953,1009,NA,NA
Agriculture Production Foodgrains Yield Foodgrains Coarse Cereals Maize Total,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1878,1817,1870,1916,1901,2031,2109,2128,2249,2361,NA,NA
Agriculture Production Foodgrains Yield Foodgrains Coarse Cereals Maize Kharif,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1765,1713,1761,1786,1740,1853,1877,1875,1974,2089,NA,NA
Agriculture Production Foodgrains Yield Foodgrains Coarse Cereals Maize Rabi,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2874,2749,2853,3030,3220,3421,3741,3813,3963,3944,NA,NA
Agriculture Production Foodgrains Yield Foodgrains Pulses Total,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,597,595,595,593,594,610,614,625,644,662,NA,NA
Agriculture Production Foodgrains Yield Foodgrains Pulses Kharif,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,453,455,463,455,455,483,472,469,496,514,NA,NA
Agriculture Production Foodgrains Yield Foodgrains Pulses Rabi,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,738,723,723,725,725,729,742,760,772,789,NA,NA
Agriculture Production Foodgrains Yield Foodgrains Pulses Tur Kharif,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,694,703,681,687,681,717,717,726,702,703,NA,NA
Agriculture Production Foodgrains Yield Foodgrains Pulses Gram Rabi,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,817,796,795,803,803,808,826,847,865,881,NA,NA
Agriculture Production Foodgrains Yield Oilseeds Nine Oilseeds,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,859,850,870,918,918,995,985,1000,1039,1081,NA,NA
Agriculture Production Foodgrains Yield Oilseeds Nine Oilseeds Groundnut,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,952,970,981,1079,1031,1181,1144,1144,1187,1274,NA,NA
Agriculture Production Foodgrains Yield Oilseeds Nine Oilseeds Rapeseed and Mustard Rabi,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,966,924,985,1045,1063,1081,1080,1108,1123,1128,NA,NA
Agriculture Production Foodgrains Yield Oilseeds Nine Oilseeds Soyabean Kharif,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,966,958,976,980,1006,1096,1068,1086,1138,1166,NA,NA
Agriculture Production Foodgrains Yield Oilseeds Nine Oilseeds Sunflower,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,580,552,541,548,549,590,623,632,645,676,NA,NA
Agriculture Production Foodgrains Yield Other Cash Crops Cotton,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,204,2108,273,324,379,396,412,440,456,NA,NA
Agriculture Production Foodgrains Yield Other Cash Crops Jute and Mesta,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1900,1944,1938,2030,2063,2093,6010,2172,2176,2195,NA,NA
Agriculture Production Foodgrains Yield Other Cash Crops Onion,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10416,10540,10416,11678,11987,12520,12520,NA,NA,NA,NA,NA
Agriculture Production Foodgrains Yield Other Cash Crops Potato,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18858,18343,18386,17950,16962,17207,17207,NA,NA,NA,NA,NA
Agriculture Production Foodgrains Yield Other Cash Crops Sugarcane,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69202,69065,65945,64473,64969,66151,67024,67929,68554,69118,NA,NA
(DC)Agricultural Coverage Under Irrigation,"Annual, Ending mar Of Each Year",%,NA,NA,NA,40.1,40,40.8,42.4,43.9,43.4,43,42.8,42.2,44.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agricultural Production Foodgrains Area Andhra Pradesh,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.81,6.27,7.17,7.27,7.39,7.44,6.666,8.03,7.29,6.85,NA
Agricultural Production Foodgrains Area Assam,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.74,2.58,2.6,2.38,2.52,2.67,2.6956,2.77,2.74,2.52,NA
Agricultural Production Foodgrains Area Bihar,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.01,6.46,6.55,6.7,7.03,6.92,6.6342,6.24,6.7,6.71,NA
Agricultural Production Foodgrains Area Chhattisgarh,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.07,5.13,5.15,5.06,5.08,4.96,4.8637,4.96,4.96,5.04,NA
Agricultural Production Foodgrains Area Gujarat,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.03,3.72,3.97,4.57,4.48,4.06,3.694,4.53,4.74,3.68,NA
Agricultural Production Foodgrains Area Haryana,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.29,4.24,4.27,4.35,4.48,4.61,4.54,4.72,4.63,4.39,NA
Agricultural Production Foodgrains Area Jharkhand,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.95,1.87,1.93,2.38,2.44,2.43,1.6191,1.49,2.32,2.31,NA
Agricultural Production Foodgrains Area Karnataka,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.91,7.56,7.6,7.45,7.87,7.46,7.955,8.24,7.43,7.42,NA
Agricultural Production Foodgrains Area Madhya Pradesh,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.68,12.47,11.68,11.78,11.29,11.91,12.459,12.86,13.5,14.13,NA
Agricultural Production Foodgrains Area Maharashtra,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.18,12.61,12.75,13.45,13.21,11.42,12.1127,13.03,10.86,10.11,NA
Agricultural Production Foodgrains Area Orissa,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.39,5.3,5.46,5.4,5.49,5.43,5.4061,5.32,4.92,5.04,NA
Agricultural Production Foodgrains Area Punjab,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.29,6.35,6.32,6.3,6.3,6.46,6.503,6.51,6.51,6.59,NA
Agricultural Production Foodgrains Area Rajasthan,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.96,12.05,12.45,12.7,13.61,13.21,13.2719,15.08,14.44,12.17,NA
Agricultural Production Foodgrains Area Tamil Nadu,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.88,3.3,3.32,3.17,3.1,3.19,3.0328,3.17,3.21,2.89,NA
Agricultural Production Foodgrains Area Uttar Pradesh,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.2,19.29,19.64,20.04,19.08,19.76,19.322,19.8,20.13,19.96,NA
Agricultural Production Foodgrains Area Uttaranchal,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03,1.04,1.03,0.99,1.01,1.03,1.009,0.99,0.95,0.93,NA
Agricultural Production Foodgrains Area West Bengal,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,6.48,6.44,6.36,6.36,6.54,6.2423,5.56,6.04,6.09,NA
Agricultural Production Foodgrains Area Others,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,3.36,3.27,3.36,3.33,3.33,3.3068,3.47,3.38,3.33,NA
Agricultural Production Foodgrains Volume Andhra Pradesh,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.697,13.396,16.951,16.229,19.303,20.421,15.295,20.32,18.36,17.93,NA
Agricultural Production Foodgrains Volume Assam,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.035,3.6182,3.6778,3.06,3.47,4.143,4.4811,4.88,4.66,4.76,NA
Agricultural Production Foodgrains Volume Bihar,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2126,7.7044,8.5868,11.0986,10.8641,12.2207,10.1506,9.22,14.05,15.62,NA
Agricultural Production Foodgrains Volume Chhattisgarh,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4698,5.023,5.7148,5.805,6.2919,5.1673,4.9028,7.06,6.87,7.63,NA
Agricultural Production Foodgrains Volume Gujarat,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5713,5.2575,6.154,6.499,8.206,6.481,5.761,8.34,8.87,7.32,NA
Agricultural Production Foodgrains Volume Haryana,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1931,13.109,12.9981,14.763,15.3078,15.6137,15.357,16.63,17.96,16.22,NA
Agricultural Production Foodgrains Volume Jharkhand,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.905,2.3111,2.0676,3.6868,4.1645,4.1887,2.1521,1.88,4.18,4.3,NA
Agricultural Production Foodgrains Volume Karnataka,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5621,10.495,13.489,9.599,12.186,11.275,10.955,13.88,12.1,10.93,NA
Agricultural Production Foodgrains Volume Madhya Pradesh,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.9567,14.1048,13.195,13.747,12.0705,13.9146,16.0178,14.95,20.39,23.42,NA
Agricultural Production Foodgrains Volume Maharashtra,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.323,10.5407,12.087,12.6451,15.1917,11.4276,12.5863,15.42,12.54,10.69,NA
Agricultural Production Foodgrains Volume Orissa,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1569,6.8897,7.3597,7.3447,8.1433,7.3991,7.5531,7.62,6.41,8.35,NA
Agricultural Production Foodgrains Volume Punjab,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.7294,25.6707,25.1842,25.3131,26.8153,27.3298,26.95,27.87,28.39,28.07,NA
Agricultural Production Foodgrains Volume Rajasthan,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9938,2.1508,11.445,14.2088,16.0587,16.6802,12.3501,18.83,19.47,18.03,NA
Agricultural Production Foodgrains Volume Tamil Nadu,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4066,6.1758,6.1272,8.263,6.5823,7.1023,7.5114,7.59,10.15,6.29,NA
Agricultural Production Foodgrains Volume Uttar Pradesh,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.2465,37.8363,40.4102,41.2145,42.0948,46.7293,43.1953,47.25,50.28,50.84,NA
Agricultural Production Foodgrains Volume Uttaranchal,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.724,1.761,1.594,1.735,1.796,1.765,1.796,1.82,1.85,1.8,NA
Agricultural Production Foodgrains Volume West Bengal,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.0097,16.0554,15.6089,15.9745,16.0502,16.2956,15.7416,14.47,15.99,16.51,NA
Agricultural Production Foodgrains Volume Others,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,5.29,6.05,5.45,NA,6.25,5.94,NA,NA,6.3125,5.3518,6.75,6.77,6.64,NA
Agricultural Production Foodgrains Yield Andhra Pradesh,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,2138,2365,2231,2613,2744,2294,2530,2519,2616,NA
